iter	RMSE
0	0.3799084772
1	0.3697866375
2	0.3608799158
3	0.3511463347
4	0.3420169889
5	0.3327587609
6	0.3250213496
7	0.3175555701
8	0.3096772937
9	0.3017276332
10	0.2948103443
11	0.288152472
12	0.2816100982
13	0.2752260715
14	0.2697043919
15	0.2640553081
16	0.2582711953
17	0.2525488714
18	0.2476081426
19	0.2432140811
20	0.2383132252
21	0.2337243477
22	0.2289863107
23	0.2247220932
24	0.2213283258
25	0.2173943582
26	0.2137507604
27	0.2099688049
28	0.2062185845
29	0.2031810395
30	0.1997652032
31	0.1965885982
32	0.1934253823
33	0.190429738
34	0.1874483082
35	0.1845373377
36	0.1819065817
37	0.1793658964
38	0.1771607324
39	0.17496209
40	0.172370216
41	0.1701840653
42	0.1682968449
43	0.1664271408
44	0.16422615
45	0.1625806133
46	0.1607965375
47	0.1591188404
48	0.1574447735
49	0.1557746128
50	0.1543039583
51	0.1530536731
52	0.1514999175
53	0.1501383777
54	0.1488004087
55	0.1474283014
56	0.1460138874
57	0.1446793126
58	0.1433287893
59	0.1421938839
60	0.1410099687
61	0.1399705299
62	0.1388347219
63	0.1379622021
64	0.1366924448
65	0.1359898093
66	0.1352109214
67	0.1341248434
68	0.1333222793
69	0.1324374598
70	0.1315428474
71	0.130836488
72	0.1301829016
73	0.1295251627
74	0.1287687711
75	0.1277930461
76	0.1270916798
77	0.1262765316
78	0.1256483725
79	0.1250799604
80	0.1243573786
81	0.123764596
82	0.1230621639
83	0.1223537651
84	0.1217284139
85	0.1211492787
86	0.1205114922
87	0.1199291574
88	0.1194366547
89	0.118913865
90	0.1184083949
91	0.1179406563
92	0.1173156121
93	0.1169316625
94	0.1164475503
95	0.1159998424
96	0.1155213663
97	0.1151398284
98	0.114715993
99	0.1143060336
100	0.113865678
101	0.1136208278
102	0.1130810357
103	0.1127548502
104	0.1123313785
105	0.1118083747
106	0.1115577655
107	0.1111325463
108	0.1108076454
109	0.1104752172
110	0.1101348335
111	0.1096762228
112	0.1092184685
113	0.108925827
114	0.1085201198
115	0.1081651627
116	0.1077033081
117	0.1073834386
118	0.1070762089
119	0.1066394902
120	0.1062952157
121	0.1060446222
122	0.1057933423
123	0.1055975235
124	0.1053394646
125	0.105040723
126	0.10477983
127	0.1045454543
128	0.1042992775
129	0.1040625844
130	0.1037193719
131	0.103458361
132	0.1030625502
133	0.1027533299
134	0.1025155597
135	0.1022427638
136	0.1019866569
137	0.101639702
138	0.1013075196
139	0.1011153317
140	0.1008992833
141	0.1006834257
142	0.1005032472
143	0.1002519423
144	0.1000888344
145	0.09976733091
146	0.09951675284
147	0.0993230757
148	0.09912168624
149	0.09896509928
150	0.0988176726
151	0.0986292444
152	0.09839258368
153	0.09822751983
154	0.09803816641
155	0.09786528942
156	0.0976975091
157	0.09753220625
158	0.0972752514
159	0.09712337365
160	0.09684823442
161	0.09655872257
162	0.09634202259
163	0.09607365397
164	0.09589757089
165	0.09566231084
166	0.09549501341
167	0.09542353476
168	0.09525973886
169	0.09500050216
170	0.09476445424
171	0.09455013933
172	0.09430650692
173	0.09402441524
174	0.09384204292
175	0.09364045791
176	0.09343077451
177	0.09324797629
178	0.09303669127
179	0.09295160592
180	0.09271834956
181	0.09252775588
182	0.09234454011
183	0.09223550449
184	0.09204437153
185	0.09179352053
186	0.09169038034
187	0.09148018792
188	0.09135238866
189	0.09116721044
190	0.091114495
191	0.09092621622
192	0.09067982002
193	0.09060679086
194	0.09037925442
195	0.0902388103
196	0.09007360772
197	0.08982219741
198	0.08972026685
199	0.08945861521
200	0.08928823052
201	0.08917946087
202	0.08899464229
203	0.08871322749
204	0.08848172059
205	0.08831905537
206	0.0882010121
207	0.08804416913
208	0.08798417331
209	0.08778998817
210	0.0877011724
211	0.08754082834
212	0.08741000434
213	0.08733816002
214	0.08722747119
215	0.087118508
216	0.08707629991
217	0.08697777585
218	0.086938565
219	0.08681155545
220	0.08675919679
221	0.08659075985
222	0.08637668631
223	0.08618180441
224	0.08613675698
225	0.0859984122
226	0.08595105456
227	0.08588000413
228	0.08564681813
229	0.08554849612
230	0.08544770944
231	0.08530515058
232	0.0851155795
233	0.08488652443
234	0.08478149046
235	0.08459105816
236	0.08444489008
237	0.08419966834
238	0.08410785249
239	0.08393634663
240	0.0838101124
241	0.08365841641
242	0.08349457965
243	0.08329261755
244	0.08318441103
245	0.08310855709
246	0.08299386584
247	0.08296951088
248	0.08274336642
249	0.08260058755
250	0.08241799586
251	0.08222332426
252	0.08203795475
253	0.08196695442
254	0.08184403812
